algorithm,data_type,array_size,max_string_size,average_time_microseconds,average_char_comparisons
StringMergeSort,reversed,1600,200,5654.9,6338
StringMergeSort,almost_sorted,1600,200,5803.4,7293
StringQuickSort,random,1600,200,966.2,27017
StringQuickSort,reversed,1600,200,2062.3,53108
StringQuickSort,almost_sorted,1600,200,1283.6,49564
RadixSort,random,1600,200,2716.4,0
RadixSort,reversed,1600,200,3313.4,0
RadixSort,almost_sorted,1600,200,3271.3,0
RadixSortWithQuickSwitch,random,1600,200,749.1,8987
RadixSortWithQuickSwitch,reversed,1600,200,1360.4,24996
RadixSortWithQuickSwitch,almost_sorted,1600,200,841.5,16543
StandardMergeSort,random,1700,200,2741.5,22291
StandardMergeSort,reversed,1700,200,2210.2,15218
StandardMergeSort,almost_sorted,1700,200,2485.8,20571
StandardQuickSort,random,1700,200,13343.2,285941
StandardQuickSort,reversed,1700,200,77471,1833370
StandardQuickSort,almost_sorted,1700,200,13861.3,299364
StringMergeSort,random,1700,200,6832.2,14498
StringMergeSort,reversed,1700,200,5948.9,6727
StringMergeSort,almost_sorted,1700,200,6171.1,7834
StringQuickSort,random,1700,200,1027.1,28854
StringQuickSort,reversed,1700,200,2206.5,57157
StringQuickSort,almost_sorted,1700,200,1211.6,44516
RadixSort,random,1700,200,2975,0
RadixSort,reversed,1700,200,3521.2,0
RadixSort,almost_sorted,1700,200,3491.9,0
RadixSortWithQuickSwitch,random,1700,200,793.3,9687
RadixSortWithQuickSwitch,reversed,1700,200,1442.5,26844
RadixSortWithQuickSwitch,almost_sorted,1700,200,892.4,17339
StandardMergeSort,random,1800,200,2961.7,23928
StandardMergeSort,reversed,1800,200,2366,15930
StandardMergeSort,almost_sorted,1800,200,2710.1,22162
StandardQuickSort,random,1800,200,15268.8,309780
StandardQuickSort,reversed,1800,200,101582,2030456
StandardQuickSort,almost_sorted,1800,200,14710.8,328705
StringMergeSort,random,1800,200,7244.9,15507
StringMergeSort,reversed,1800,200,6275.6,7014
StringMergeSort,almost_sorted,1800,200,6494.5,8480
StringQuickSort,random,1800,200,1167.2,34875
StringQuickSort,reversed,1800,200,2452.1,63075
StringQuickSort,almost_sorted,1800,200,1355.8,53107
RadixSort,random,1800,200,3201.8,0
RadixSort,reversed,1800,200,3707.4,0
RadixSort,almost_sorted,1800,200,3708.4,0
RadixSortWithQuickSwitch,random,1800,200,847.8,10513
RadixSortWithQuickSwitch,reversed,1800,200,1525.4,28533
RadixSortWithQuickSwitch,almost_sorted,1800,200,943,18183
StandardMergeSort,random,1900,200,3129.9,25527
StandardMergeSort,reversed,1900,200,2450.5,16737
StandardMergeSort,almost_sorted,1900,200,2764.2,23527
StandardQuickSort,random,1900,200,14893.8,326906
StandardQuickSort,reversed,1900,200,94311.9,2238661
StandardQuickSort,almost_sorted,1900,200,15614,347248
StringMergeSort,random,1900,200,7610.9,16476
StringMergeSort,reversed,1900,200,6612.9,7306
StringMergeSort,almost_sorted,1900,200,6845.9,9039
StringQuickSort,random,1900,200,1233.3,35135
StringQuickSort,reversed,1900,200,2646.9,68757
StringQuickSort,almost_sorted,1900,200,1409.4,53613
RadixSort,random,1900,200,3498.7,0
RadixSort,reversed,1900,200,3929,0
RadixSort,almost_sorted,1900,200,3923.5,0
RadixSortWithQuickSwitch,random,1900,200,900.4,11341
RadixSortWithQuickSwitch,reversed,1900,200,1594.4,30201
RadixSortWithQuickSwitch,almost_sorted,1900,200,976,18876
StandardMergeSort,random,2000,200,3357.9,27136
StandardMergeSort,reversed,2000,200,2569.3,17465
StandardMergeSort,almost_sorted,2000,200,2958.8,25152
StandardQuickSort,random,2000,200,15678.3,339760
StandardQuickSort,reversed,2000,200,118929,2458676
StandardQuickSort,almost_sorted,2000,200,16329.3,366116
StringMergeSort,random,2000,200,7990.3,17467
StringMergeSort,reversed,2000,200,6923,7640
StringMergeSort,almost_sorted,2000,200,7202.3,9507
StringQuickSort,random,2000,200,1226,35907
StringQuickSort,reversed,2000,200,2951.4,76030
StringQuickSort,almost_sorted,2000,200,1471.2,56220
RadixSort,random,2000,200,3674.2,0
RadixSort,reversed,2000,200,4150.5,0
RadixSort,almost_sorted,2000,200,4121.9,0
RadixSortWithQuickSwitch,random,2000,200,947.2,12095
